gender,mastercategory,subcategory,articletype,usage,color,result,images
Men,Accessories,Accessories,Accessory Gift Set,Casual,black,"Men wear ""black Accessory Gift Set""",
Men,Accessories,Accessories,Accessory Gift Set,Casual,blue,"Men wear ""blue Accessory Gift Set""",
Men,Accessories,Accessories,Accessory Gift Set,Casual,brown,"Men wear ""brown Accessory Gift Set""",
Men,Accessories,Accessories,Accessory Gift Set,Casual,gray,"Men wear ""gray Accessory Gift Set""",
Men,Accessories,Accessories,Accessory Gift Set,Casual,green,"Men wear ""green Accessory Gift Set""",
Men,Accessories,Accessories,Accessory Gift Set,Casual,orange,"Men wear ""orange Accessory Gift Set""",
Men,Accessories,Accessories,Accessory Gift Set,Casual,pink,"Men wear ""pink Accessory Gift Set""",
Men,Accessories,Accessories,Accessory Gift Set,Casual,purple,"Men wear ""purple Accessory Gift Set""",
Men,Accessories,Accessories,Accessory Gift Set,Casual,red,"Men wear ""red Accessory Gift Set""",
Men,Accessories,Accessories,Accessory Gift Set,Casual,white,"Men wear ""white Accessory Gift Set""",
Men,Accessories,Accessories,Accessory Gift Set,Casual,yellow,"Men wear ""yellow Accessory Gift Set""",
Men,Accessories,Accessories,Accessory Gift Set,Formal,black,"Men wear ""black Accessory Gift Set""",
Men,Accessories,Accessories,Accessory Gift Set,Formal,blue,"Men wear ""blue Accessory Gift Set""",
Men,Accessories,Accessories,Accessory Gift Set,Formal,brown,"Men wear ""brown Accessory Gift Set""",
Men,Accessories,Accessories,Accessory Gift Set,Formal,gray,"Men wear ""gray Accessory Gift Set""",
Men,Accessories,Accessories,Accessory Gift Set,Formal,green,"Men wear ""green Accessory Gift Set""",
Men,Accessories,Accessories,Accessory Gift Set,Formal,orange,"Men wear ""orange Accessory Gift Set""",
Men,Accessories,Accessories,Accessory Gift Set,Formal,pink,"Men wear ""pink Accessory Gift Set""",
Men,Accessories,Accessories,Accessory Gift Set,Formal,purple,"Men wear ""purple Accessory Gift Set""",
Men,Accessories,Accessories,Accessory Gift Set,Formal,red,"Men wear ""red Accessory Gift Set""",
Men,Accessories,Accessories,Accessory Gift Set,Formal,white,"Men wear ""white Accessory Gift Set""",
Men,Accessories,Accessories,Accessory Gift Set,Formal,yellow,"Men wear ""yellow Accessory Gift Set""",
Men,Accessories,Accessories,Messenger Bag,Casual,black,"Men wear ""black Messenger Bag""",
Men,Accessories,Accessories,Messenger Bag,Casual,blue,"Men wear ""blue Messenger Bag""",
Men,Accessories,Accessories,Messenger Bag,Casual,brown,"Men wear ""brown Messenger Bag""",
Men,Accessories,Accessories,Messenger Bag,Casual,gray,"Men wear ""gray Messenger Bag""",
Men,Accessories,Accessories,Messenger Bag,Casual,green,"Men wear ""green Messenger Bag""",
Men,Accessories,Accessories,Messenger Bag,Casual,orange,"Men wear ""orange Messenger Bag""",
Men,Accessories,Accessories,Messenger Bag,Casual,pink,"Men wear ""pink Messenger Bag""",
Men,Accessories,Accessories,Messenger Bag,Casual,purple,"Men wear ""purple Messenger Bag""",
Men,Accessories,Accessories,Messenger Bag,Casual,red,"Men wear ""red Messenger Bag""",
Men,Accessories,Accessories,Messenger Bag,Casual,white,"Men wear ""white Messenger Bag""",
Men,Accessories,Accessories,Messenger Bag,Casual,yellow,"Men wear ""yellow Messenger Bag""",
Men,Accessories,Accessories,Water Bottle,Casual,black,"Men wear ""black Water Bottle""",
Men,Accessories,Accessories,Water Bottle,Casual,blue,"Men wear ""blue Water Bottle""",
Men,Accessories,Accessories,Water Bottle,Casual,brown,"Men wear ""brown Water Bottle""",
Men,Accessories,Accessories,Water Bottle,Casual,gray,"Men wear ""gray Water Bottle""",
Men,Accessories,Accessories,Water Bottle,Casual,green,"Men wear ""green Water Bottle""",
Men,Accessories,Accessories,Water Bottle,Casual,orange,"Men wear ""orange Water Bottle""",
Men,Accessories,Accessories,Water Bottle,Casual,pink,"Men wear ""pink Water Bottle""",
Men,Accessories,Accessories,Water Bottle,Casual,purple,"Men wear ""purple Water Bottle""",
Men,Accessories,Accessories,Water Bottle,Casual,red,"Men wear ""red Water Bottle""",
Men,Accessories,Accessories,Water Bottle,Casual,white,"Men wear ""white Water Bottle""",
Men,Accessories,Accessories,Water Bottle,Casual,yellow,"Men wear ""yellow Water Bottle""",
Men,Accessories,Accessories,Water Bottle,Sports,black,"Men wear ""black Water Bottle""",
Men,Accessories,Accessories,Water Bottle,Sports,blue,"Men wear ""blue Water Bottle""",
Men,Accessories,Accessories,Water Bottle,Sports,brown,"Men wear ""brown Water Bottle""",
Men,Accessories,Accessories,Water Bottle,Sports,gray,"Men wear ""gray Water Bottle""",
Men,Accessories,Accessories,Water Bottle,Sports,green,"Men wear ""green Water Bottle""",
Men,Accessories,Accessories,Water Bottle,Sports,orange,"Men wear ""orange Water Bottle""",
Men,Accessories,Accessories,Water Bottle,Sports,pink,"Men wear ""pink Water Bottle""",
Men,Accessories,Accessories,Water Bottle,Sports,purple,"Men wear ""purple Water Bottle""",
Men,Accessories,Accessories,Water Bottle,Sports,red,"Men wear ""red Water Bottle""",
Men,Accessories,Accessories,Water Bottle,Sports,white,"Men wear ""white Water Bottle""",
Men,Accessories,Accessories,Water Bottle,Sports,yellow,"Men wear ""yellow Water Bottle""",
Men,Accessories,Bags,Backpacks,Casual,black,"Men wear ""black Backpacks""",
Men,Accessories,Bags,Backpacks,Casual,blue,"Men wear ""blue Backpacks""",
Men,Accessories,Bags,Backpacks,Casual,brown,"Men wear ""brown Backpacks""",
Men,Accessories,Bags,Backpacks,Casual,gray,"Men wear ""gray Backpacks""",
Men,Accessories,Bags,Backpacks,Casual,green,"Men wear ""green Backpacks""",
Men,Accessories,Bags,Backpacks,Casual,orange,"Men wear ""orange Backpacks""",
Men,Accessories,Bags,Backpacks,Casual,pink,"Men wear ""pink Backpacks""",
Men,Accessories,Bags,Backpacks,Casual,purple,"Men wear ""purple Backpacks""",
Men,Accessories,Bags,Backpacks,Casual,red,"Men wear ""red Backpacks""",
Men,Accessories,Bags,Backpacks,Casual,white,"Men wear ""white Backpacks""",
Men,Accessories,Bags,Backpacks,Casual,yellow,"Men wear ""yellow Backpacks""",
Men,Accessories,Bags,Backpacks,Sports,black,"Men wear ""black Backpacks""",
Men,Accessories,Bags,Backpacks,Sports,blue,"Men wear ""blue Backpacks""",
Men,Accessories,Bags,Backpacks,Sports,brown,"Men wear ""brown Backpacks""",
Men,Accessories,Bags,Backpacks,Sports,gray,"Men wear ""gray Backpacks""",
Men,Accessories,Bags,Backpacks,Sports,green,"Men wear ""green Backpacks""",
Men,Accessories,Bags,Backpacks,Sports,orange,"Men wear ""orange Backpacks""",
Men,Accessories,Bags,Backpacks,Sports,pink,"Men wear ""pink Backpacks""",
Men,Accessories,Bags,Backpacks,Sports,purple,"Men wear ""purple Backpacks""",
Men,Accessories,Bags,Backpacks,Sports,red,"Men wear ""red Backpacks""",
Men,Accessories,Bags,Backpacks,Sports,white,"Men wear ""white Backpacks""",
Men,Accessories,Bags,Backpacks,Sports,yellow,"Men wear ""yellow Backpacks""",
Men,Accessories,Bags,Duffel Bag,Casual,black,"Men wear ""black Duffel Bag""",
Men,Accessories,Bags,Duffel Bag,Casual,blue,"Men wear ""blue Duffel Bag""",
Men,Accessories,Bags,Duffel Bag,Casual,brown,"Men wear ""brown Duffel Bag""",
